Company_Name,Full_Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits,Industry,Headquarters_Locations,Rated_For,Profile_URL
TCS,Tata Consultancy Services,3.2,1.2L,10.4L,11.4k,5.3k,11.1k,IT Services & Consulting,Bengaluru +479 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/tcs-overview
Accenture,Accenture overview,3.7,77.3k,7.3L,9.6k,14.9k,7k,IT Services & Consulting,Bengaluru +283 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/accenture-overview
Wipro,Wipro overview,3.6,68k,4.9L,7k,7,5k,IT Services & Consulting,Hyderabad +393 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/wipro-overview
Cognizant,Cognizant overview,3.7,64.2k,6.1L,6.6k,810,5.7k,IT Services & Consulting,Hyderabad +254 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/cognizant-overview
Capgemini,Capgemini overview,3.6,56.4k,5L,5.7k,2.1k,3.9k,IT Services & Consulting,Bengaluru +206 other locations,"Work Life Balance, Job Security",https://www.ambitionbox.com/overview/capgemini-overview
HDFC Bank,HDFC Bank overview,3.8,55.5k,1.5L,3.2k,358,3.5k,Banking,Mumbai +1912 other locations,Job Security,https://www.ambitionbox.com/overview/hdfc-bank-overview
Infosys,Infosys overview,3.5,51.2k,5.4L,8.6k,4.3k,5k,IT Services & Consulting,Bengaluru +259 other locations,Job Security,https://www.ambitionbox.com/overview/infosys-overview
HCLTech,HCL Technologies,3.4,48.4k,4L,4.7k,343,4k,IT Services & Consulting,Bengaluru +250 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/hcl-technologies-overview
ICICI Bank,ICICI Bank overview,4.0,47.6k,1.6L,3.1k,24,3.8k,Banking,Mumbai +1479 other locations,"Job Security, Promotions, Skill Development",https://www.ambitionbox.com/overview/icici-bank-overview
Tech Mahindra,Tech Mahindra overview,3.3,45.4k,2.8L,4.7k,813,3.5k,IT Services & Consulting,Hyderabad +340 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/tech-mahindra-overview
